date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-08-08 15:59:59,lcfcbuzztap,,0,0,0,"http://nbcsports.com >> Leicester City 4-2 Sunderland: Foxes run wild behind Albrighton, Mahrez http://buzztap.com/-VcaVmW",,,,630045802124087296,https://twitter.com/lcfcbuzztap/status/630045802124087296
2015-08-08 15:59:59,safcbuzztap,,0,0,1,"http://nbcsports.com >> Leicester City 4-2 Sunderland: Foxes run wild behind Albrighton, Mahrez http://buzztap.com/-VcaVmW",,,,630045800828002305,https://twitter.com/safcbuzztap/status/630045800828002305
2015-08-08 15:59:48,footballfeeds1,,0,0,0,"Premier League round-up: Leicester City start with thrilling win over Sunderland: http://bit.ly/1ItrMe1 #football",,,#football,630045753688260608,https://twitter.com/footballfeeds1/status/630045753688260608
2015-08-08 15:59:44,rosstarbard,,0,0,0,"That's pretty much the perfect start to the season for Leicester City @LCFC Awesome stuff #lcfc",,@LCFC,#lcfc,630045738836336640,https://twitter.com/rosstarbard/status/630045738836336640
2015-08-08 15:59:43,Anthony_Chr1234,,0,0,0,"Barclays Premier League : Bournemouth 0-1 Aston Villa, Everton 2-2 Watford, Leicester City 4-2 Sunderland, Norwich City 1-3 Crystal Palace.",,,,630045735791099904,https://twitter.com/Anthony_Chr1234/status/630045735791099904
2015-08-08 15:59:37,bowden_saint,,0,1,1,"Bloody hell Leicester City are top of the premier league. #endtheseasonnow",,,#endtheseasonnow,630045707697815553,https://twitter.com/bowden_saint/status/630045707697815553
2015-08-08 15:59:32,1Easterbrook,,0,1,0,"Full-time: Leicester City 4 Sunderland 2 http://www.thenorthernecho.co.uk/sport/football/13583461.Full_time__Leicester_City_4_Sunderland_2/?ref=twtrec …pic.twitter.com/uPAv5xeAmT",,,,630045687611326465,https://twitter.com/1Easterbrook/status/630045687611326465
2015-08-08 15:59:13,bj_media,,0,0,0,"FT: #EPL Bournemouth 0 vs 1 Aston Villa, Leicester City 4 vs 2 Sunderland, Everton 2 vs 2 Watford, Norwich 1 vs 3 Crystal Palace.",,,#EPL,630045609270059008,https://twitter.com/bj_media/status/630045609270059008
2015-08-08 15:59:11,KingMien01,,0,0,0,"Leicester City just won the EPL....",,,,630045599384109056,https://twitter.com/KingMien01/status/630045599384109056
2015-08-08 15:59:05,Brian_NUFC,,1,1,2,"Leicester City 4, Sunderland 2. #safc manager must be a complete dick. #lcfc",,,#safc #lcfc,630045575870812160,https://twitter.com/Brian_NUFC/status/630045575870812160
2015-08-08 15:59:02,theofficial_GSC,,0,0,0,"Watford & Leicester City dressed to impress. Norwich sadly didn't have luck or ref on their side. Bournemouth just couldn't finish chances",,,,630045564118249472,https://twitter.com/theofficial_GSC/status/630045564118249472
2015-08-08 15:59:02,antone_haukwa,,0,0,0,"Brilliant start from Leicester City#BPL",,,#BPL,630045562121818112,https://twitter.com/antone_haukwa/status/630045562121818112
2015-08-08 15:59:02,neymarmessijd,,0,0,0,"Premier League fecha 1: Leicester City 4 Sunderland 2. Final",,,,630045561576648704,https://twitter.com/neymarmessijd/status/630045561576648704
2015-08-08 15:58:59,TheBookOfJim_,,0,0,0,"Nobody saw that Leicester City result coming did they? #BPL #LEISUN",,,#BPL #LEISUN,630045549790633984,https://twitter.com/TheBookOfJim_/status/630045549790633984
2015-08-08 15:58:51,itspixelperfect,,0,0,0,"In the other game to play so far... Leicester City thumped Sunderland 4-2",,,,630045515346907136,https://twitter.com/itspixelperfect/status/630045515346907136
2015-08-08 15:58:33,JadeLynchBB,,0,0,0,"Premier League round-up: Leicester City start with thrilling win over Sunderland http://dlvr.it/BnMFWn pic.twitter.com/knT4D1I0eI",,,,630045440105299968,https://twitter.com/JadeLynchBB/status/630045440105299968
2015-08-08 15:58:28,hlanek09,,1,0,0,"This might be the only time Leicester City is atop the EPL",,,,630045418106277888,https://twitter.com/hlanek09/status/630045418106277888
2015-08-08 15:58:26,InlandTradez,,0,0,0,"Premier League round-up: Leicester City start with thrilling win over Sunderland http://dlvr.it/BnMHt9 pic.twitter.com/TqVxG11nf3",,,,630045409881161728,https://twitter.com/InlandTradez/status/630045409881161728
2015-08-08 15:58:25,NBCSportsSoccer,,0,3,5,"RECAP - Leicester City 4-2 Sunderland: Foxes run wild behind Albrighton, Mahrez | #leisun #BPLonNBC http://wp.me/p2g4vo-1q7s",,,#leisun #BPLonNBC,630045409050673152,https://twitter.com/NBCSportsSoccer/status/630045409050673152
2015-08-08 15:58:24,BeloBrians,,0,0,0,"Premier League round-up: Leicester City start with thrilling win over Sunderland http://dlvr.it/BnMCKp pic.twitter.com/XYrTMonm3q",,,,630045401849028608,https://twitter.com/BeloBrians/status/630045401849028608
2015-08-08 15:58:22,shezza7667,,0,0,0,"We're Leicester city we're top of the league @LCFCpic.twitter.com/9jJRM21Ehx",,@LCFCpic,,630045392894177280,https://twitter.com/shezza7667/status/630045392894177280
2015-08-08 15:58:20,KellyBradleys,,0,0,0,"Premier League round-up: Leicester City start with thrilling win over Sunderland http://dlvr.it/BnMGg1 pic.twitter.com/tm55OlvA8J",,,,630045387412221952,https://twitter.com/KellyBradleys/status/630045387412221952
2015-08-08 15:58:16,verndog82,,0,0,1,"It feels good being top of the league #leicestercity",,,#leicestercity,630045369712381952,https://twitter.com/verndog82/status/630045369712381952
