date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-04-01 15:59:19,sports_eeuu,,0,0,0,"Leicester City 2-0 Stoke City http://dlvr.it/Nn1fhj pic.twitter.com/Su6sDWY2GW",,,,848203127908057089,https://twitter.com/sports_eeuu/status/848203127908057089
2017-04-01 15:59:18,dexkool90,,0,0,0,"Leicester City 2-0 Stoke City http://dlvr.it/Nn1fhV pic.twitter.com/b7lFEBktZO",,,,848203123172589568,https://twitter.com/dexkool90/status/848203123172589568
2017-04-01 15:59:15,3four3,,8,7,19,"5 wins, 0 losses #LeicesterCity Anyone still questioning what happened with Ranieri?",,,#LeicesterCity,848203112384876544,https://twitter.com/3four3/status/848203112384876544
2017-04-01 15:58:51,_sebasn,,0,0,0,"Liverpool 3-1 Everton Leicester 2-0 Stoke City Chelsea 1-2 Crystal Burnley 0-2 Tottenham United 0- 0 West Bromwich #PremierLeague J30",,,#PremierLeague,848203009666547714,https://twitter.com/_sebasn/status/848203009666547714
2017-04-01 15:58:50,nigerianews360,,0,0,0,"(Video) – Ndidi Breaks The Internet With Screamer For Leicester City In Win Over Stoke City https://www.nigerianews360.com/video-ndidi-breaks-the-internet-with-screamer-for-leicester-city-in-win-over-stoke-city/ …pic.twitter.com/uecuqLCFhd",,,,848203009280675840,https://twitter.com/nigerianews360/status/848203009280675840
2017-04-01 15:58:43,iDareU_,,0,0,1,"FULL TIME: Leicester 2-0 Stoke . What a turn around of form for Leicester City",,,,848202976279789568,https://twitter.com/iDareU_/status/848202976279789568
2017-04-01 15:58:17,FutbolModerno_,,0,5,10,"FINALES. -Leicester City 2-0 Stoke City. -Manchester United 0-0 West Brom. -Chelsea 1-2 Crystal Palace. #PLpic.twitter.com/PPtpch2TLj",,,#PLpic,848202868339482625,https://twitter.com/FutbolModerno_/status/848202868339482625
2017-04-01 15:58:07,FichajeGoleador,FichajeGoleador,0,4,8,"¡¡FINALIZAN!! Man United 0-0 West Brom Burnely 0-2 Tottenham Leicester 2-0 Stoke City Chelsea 1-2 Crystal Palace #PL [FECHA 30]pic.twitter.com/0gcNt0DzLp",,,#PL,848202829130903552,https://twitter.com/FichajeGoleador/status/848202829130903552
2017-04-01 15:57:30,AO_Sports,,0,0,0,"Full time: Leicester City v Stoke City (English Premier League) http://english.ahram.org.eg/News/262017.aspx …",,,,848202671836278786,https://twitter.com/AO_Sports/status/848202671836278786
2017-04-01 15:57:22,anBhanna,,0,0,0,"Leicester City 2 — 0 Stoke City and: https://twitter.com/jayjaygiants/status/848200104259575809 … and:pic.twitter.com/gUoDBf6Erx",,,,848202636990050304,https://twitter.com/anBhanna/status/848202636990050304
