date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-26 16:59:58,SBOBET,,0,1,0,"#PL - England FULL TIME: Leicester City managed to take the lead on second half. Leicester City 2-1 Manchester City #LCFC #MCFC #LEIMUNpic.twitter.com/BKzVBXQ6Mg",,,#PL #LCFC #MCFC #LEIMUNpic,1077972299087675392,https://twitter.com/SBOBET/status/1077972299087675392
2018-12-26 16:59:58,_JKins_,,0,0,2,"A wa gwan for ManCity now. I like that Leicester City",,,,1077972297682743297,https://twitter.com/_JKins_/status/1077972297682743297
2018-12-26 16:59:58,JuNambaje,,0,0,0,"once Leicester city FC was a champion in #PL ; Mancity loose 2nd match in row but none is giving a Fuckkk to mean when you're small just don't ignore it. #GGMU THANKS #Ole",,,#PL #GGMU #Ole,1077972297116459008,https://twitter.com/JuNambaje/status/1077972297116459008
2018-12-26 16:59:45,dialex0,,0,0,0,"Another terrible day for city to me Leicester City deserved the winning it's payback for Efl",,,,1077972245996285952,https://twitter.com/dialex0/status/1077972245996285952
2018-12-26 16:59:44,Deshynor,,0,0,0,"On boxing day, Manchester city was boxed down to the 3rd by Leicester city. Thank you Jesus #LEIMCI",,,#LEIMCI,1077972241202249728,https://twitter.com/Deshynor/status/1077972241202249728
2018-12-26 16:59:43,ChaputAfterDark,,0,0,0,"Leicester City with more miracles!",,,,1077972235023933441,https://twitter.com/ChaputAfterDark/status/1077972235023933441
2018-12-26 16:59:41,JVamcas,,0,1,0,"Whatever weed Leicester City's been smoking they should keep it till when they meet Liverpool.",,,,1077972228506091520,https://twitter.com/JVamcas/status/1077972228506091520
2018-12-26 16:59:30,Ryanowenwells04,AnfieldHQ,0,0,0,"Just tried to thank my uncle who’s a Leicester city fan for the win but now he’s gone all high and mighty about their one premier league. Leicester fans are twats I hate living in Leicestershire",,,,1077972180527448064,https://twitter.com/Ryanowenwells04/status/1077972180527448064
2018-12-26 16:59:29,KarstenRivasTCS,,0,0,0,"JORNADA 19 LIGA PREMIER Fulham 1 - 1 Wolverhampton Wanderers Burnley 1 - 5 Everton Crystal Palace 0 - 0 Cardiff City Leicester City 2 - 1 Manchester City Liverpool 4 - 0 Newcastle United Manchester United 3 - 1 Huddersfield Town Tottenham Hotspur 5 - 0 Bournemouth",,,,1077972175884304386,https://twitter.com/KarstenRivasTCS/status/1077972175884304386
2018-12-26 16:59:26,Sarwar_M3rlin,,1,0,15,"Hallelujah, we are now 6 points ahead in 1st place!!!! C'mon you #REDS and thank you Leicester City!!! This year could finally be our year, finally.",,,#REDS,1077972164492619776,https://twitter.com/Sarwar_M3rlin/status/1077972164492619776
2018-12-26 16:59:22,leumaswazhere,,0,0,0,"Leicester City have beaten Chelsea and Manchester City back to back lol",,,,1077972149699256321,https://twitter.com/leumaswazhere/status/1077972149699256321
2018-12-26 16:59:20,SambaRole,SambaRole,0,1,14,"Lucas Digne with a brace, Kyle Walker-Peters with a hat trick of assists, Dejan Lovren with a screamer and to top it all off, Leicester City have beaten the champions! Mad. https://twitter.com/SambaRole/status/1077876760203603970 …",,,,1077972139792261120,https://twitter.com/SambaRole/status/1077972139792261120
2018-12-26 16:59:18,5Times2005,,0,0,2,"Leicester City you beautiful bastards you!",,,,1077972132838166528,https://twitter.com/5Times2005/status/1077972132838166528
2018-12-26 16:59:13,MarkgLcfc,,0,0,15,"Enjoyed that. Bloody love you Leicester City #lcfc #fearless",,,#lcfc #fearless,1077972111925407745,https://twitter.com/MarkgLcfc/status/1077972111925407745
2018-12-26 16:59:11,2c7li,,0,0,1,"I- FUCKING GHJYSCBKT WHAT'S HAPPENING I CAN'T BELIEVE I'M HAVING TO MISS THIS OH MY GOD!! I LOVE YOU, YOU SEXY REDS! #LFC #LIVNEW And shoutout to Leicester City. Livercester FC pic.twitter.com/PQP2Lci6oU",,,#LFC #LIVNEW,1077972103037505536,https://twitter.com/2c7li/status/1077972103037505536
2018-12-26 16:59:10,_Steve_Kyrie,,0,0,0,"Leicester City",,,,1077972098730156033,https://twitter.com/_Steve_Kyrie/status/1077972098730156033
2018-12-26 16:59:06,Leicestertid,,0,0,3,"FULL TIME Leicester City 2-1 Manchester City If Carlsberg did football Christmas's #LCFC",,,#LCFC,1077972082070306816,https://twitter.com/Leicestertid/status/1077972082070306816
2018-12-26 16:58:58,xoRoyalPrincess,,0,0,0,"Well done Leicester City! That was a boss game",,,,1077972045768679424,https://twitter.com/xoRoyalPrincess/status/1077972045768679424
2018-12-26 16:58:57,Ftbl_Mitchell,ManCity,0,0,1,"LEICESTER CITY",,,,1077972044602638336,https://twitter.com/Ftbl_Mitchell/status/1077972044602638336
2018-12-26 16:58:57,JohnYidArmy,,0,0,0,"Love you #leicestercity",,,#leicestercity,1077972044585799680,https://twitter.com/JohnYidArmy/status/1077972044585799680
