date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-09-17 15:59:58,F9Inter,,0,1,0,"FINALES #BPL Hull City 1-4 Arsenal Leicester 3-0 Burnley Manchester City 4-0 Bournemouth WBA 4-2 West Ham @F9Premier",,@F9Premier,#BPL,777175272420409352,https://twitter.com/F9Inter/status/777175272420409352
2016-09-17 15:59:48,paddypower,,3,7,26,"Today's Premier League results so far: Hull 1 - 4 Arsenal Leicester 3 -0 Burnley Man City 4 - 0 Bournemouth West Brom 4- 2 West Ham",,,,777175227683987457,https://twitter.com/paddypower/status/777175227683987457
2016-09-17 15:59:42,footballdazzle,,0,0,0,"The FT whistle is gone and here are the scores: Hull City 1-4 Arsenal Man City 4-0 Bournemouth Leicester 3-0 Burnley West Brom 4-2 West Ham",,,,777175202681745408,https://twitter.com/footballdazzle/status/777175202681745408
2016-09-17 15:59:34,UgoUganda,,0,0,1,"Goals galore in the #PremierLeague FT Scores HullCity 1-4 Arsenal WestBrom 4-2 WestHam LeicesterCity 3-0 Burnley ManCity 4-0 Bournemouth",,,#PremierLeague,777175171270635520,https://twitter.com/UgoUganda/status/777175171270635520
2016-09-17 15:59:33,JnatasJardim1,,0,0,0,"Terminou Leicester City 3x0 Burnley! 90+1' Hull City 1x4 Arsenal Xhaka Terminou Hull City 1x4 Arsenal! Terminou West Brom 4x2 West Ham!",,,,777175167760039937,https://twitter.com/JnatasJardim1/status/777175167760039937
2016-09-17 15:59:21,fifafoot,,0,0,0,"#Últimas #fotos Tom Heaton of Burnley makes a save from Riyad Mahrez of Leicester City: LEICESTER, ENGLAND - ... http://fifa.to/2cFeQZf",,,#Últimas #fotos,777175115532341248,https://twitter.com/fifafoot/status/777175115532341248
2016-09-17 15:59:18,Daniel_Smith98,,0,0,2,"Thank you Arsenal, Leicester, Man City, Hudderfield and fucking Brighton, you've won me £40 which really means only one thing",,,,777175104581140480,https://twitter.com/Daniel_Smith98/status/777175104581140480
2016-09-17 15:59:16,Yoursportsnews1,,0,0,0,"Leicester City 1-0 Burnley at halftime. (ESPN) Leicester City #YSNpic.twitter.com/PNu5JqbKWe",,,#YSNpic,777175096939151360,https://twitter.com/Yoursportsnews1/status/777175096939151360
2016-09-17 15:59:13,footballpodcast,,0,4,1,"Premier League results: Hull 1-4 Arsenal Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom 4-2 West Ham #EPL #BPL #RESULTS",,,#EPL #BPL #RESULTS,777175081684467712,https://twitter.com/footballpodcast/status/777175081684467712
2016-09-17 15:59:07,transferfan,,0,0,0,"Slimani stars in deserved Leicester win: Leicester City's club-record signing Islam Slimani marks his Premier Leag… http://ift.tt/2d51051",,,,777175058976481280,https://twitter.com/transferfan/status/777175058976481280
2016-09-17 15:59:06,voicefmradio,,0,0,0,"Full Time Scores: Hull 1- 4 Arsenal Leicester 3 - 0 Burnley Man City 4- 0 @afcbournemouth West Brom 4-2 West Ham",,@afcbournemouth,,777175053616107521,https://twitter.com/voicefmradio/status/777175053616107521
2016-09-17 15:58:48,dmuleicester,,0,0,8,"Great to see our 'Dare to be Fearless' message pitchside during Leicester City's 3-0 win over Burnley #lcfc #LeiBurpic.twitter.com/OwRVQekigD",,,#lcfc #LeiBurpic,777174976290062340,https://twitter.com/dmuleicester/status/777174976290062340
2016-09-17 15:58:37,Abggaram,,0,0,1,"Premier League FT scores: Hull 1-4 Arsenal Man City 4-0 Bournemouth Leicester 3-0 Burnley West Brom 4-2 West Ham",,,,777174931394048000,https://twitter.com/Abggaram/status/777174931394048000
2016-09-17 15:58:35,l5iza,,0,0,0,"Drew Petrie likens North Melbourne to Leicester City ##DrewPetrie... http://goo.gl/fb/w0h9H7",,,# #DrewPetrie,777174921399107585,https://twitter.com/l5iza/status/777174921399107585
2016-09-17 15:58:08,Coral,,0,1,1,"FTs: Hull 1-4 Arsenal Leicester 3-0 Burnley City 4-0 Bournemouth West Brom 4-2 West Ham",,,,777174811504148481,https://twitter.com/Coral/status/777174811504148481
2016-09-17 15:58:06,44stu,,1,0,0,"Chelsea 1-2 Liverpool Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom Draw lets my 6 team acca down pic.twitter.com/mjetpcIZmG",,,,777174801731448832,https://twitter.com/44stu/status/777174801731448832
2016-09-17 15:58:05,JasonBourne1986,,12,1,14,"Was today the real Leicester City? Thoughts on Slimani? Mahrez back to his best now? Thoughts on Albrighton too?",,,,777174795171536896,https://twitter.com/JasonBourne1986/status/777174795171536896
2016-09-17 15:58:00,playthesix_epl,,0,0,0,"Leicester City 3 Burnley 0: Slimani nets brace on Premier League bow. http://zpr.io/PnzJE pic.twitter.com/WQDEnW58Ng",,,,777174777706508290,https://twitter.com/playthesix_epl/status/777174777706508290
2016-09-17 15:57:51,fullgands,,0,0,0,"Leicester City vs Burnley – Premier League Highlights http://www.fullgamesandshows.cf/club/leicester-city-vs-burnley-premier-league-highlights/ … via @fullgands",,@fullgands,,777174740012265472,https://twitter.com/fullgands/status/777174740012265472
2016-09-17 15:57:49,blackmans76,,0,0,0,"Full Time Hull City 1-4 Arsenal West Brom 4-2 West Ham Man City 4-0 AFC Bournemouth Leicester City 3-0 Burnley",,,,777174729379684352,https://twitter.com/blackmans76/status/777174729379684352
2016-09-17 15:57:47,mysoccerhq,,0,0,0,"FT: #EPL scores Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth West Brom 4-2 West Ham Leicester 3-0 Burnley",,,#EPL,777174722211672065,https://twitter.com/mysoccerhq/status/777174722211672065
2016-09-17 15:57:47,BigEyeUG,,0,0,0,"#BigEyeSport #FullTime Hull City 1-4 Arsenal Leicester City 3-0 Burnley Manchester City 4-0 AFC Bournemouth West... http://fb.me/17rKzQjKR",,,#BigEyeSport #FullTime,777174720118714368,https://twitter.com/BigEyeUG/status/777174720118714368
2016-09-17 15:57:42,konnectii,,0,0,0,"FT: Man City 4 - 0 AFC Bournemouth West Brom 4 - 2 West Ham Hull City 1 - 4 Arsenal Leicester 3 - 0 Burnley Super Saturday.",,,,777174701563076612,https://twitter.com/konnectii/status/777174701563076612
2016-09-17 15:57:41,basanya01,,0,0,0,"England - Premier League September 17 FT Hull City 1 - 4 Arsenal FT Leicester City 3 - 0 Burnley FT Manchester City 4 - 0 AFC Bournemouth",,,,777174697712689152,https://twitter.com/basanya01/status/777174697712689152
2016-09-17 15:57:41,Mister_Numbers,,0,2,3,"Most Premier League goals in 2016: 52 | Liverpool 49 | Man City 46 | Chelsea 44 | West Ham, Arsenal 43 | Spurs 38 | Leicester",,,,777174697100410880,https://twitter.com/Mister_Numbers/status/777174697100410880
2016-09-17 15:57:29,SSnetwoork,,0,1,0,"FT: Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth West Brom 4-2 West Ham Leicester City 3-0 Burnley #EPL",,,#EPL,777174647154638848,https://twitter.com/SSnetwoork/status/777174647154638848
2016-09-17 15:57:23,albarcon_18,,0,0,0,"#PremierLeague Final: Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth WBA 4-2 West Ham Leicester 3-0 Burnley",,,#PremierLeague,777174622794092544,https://twitter.com/albarcon_18/status/777174622794092544
2016-09-17 15:57:23,SSFootball_,,0,0,0,"Final - Hull City 1-4 Arsenal Final - Leicester City 3-0 Burnley Final - Manchester City 4-0 Bournemouth Final - West Brom 4-2 West Ham",,,,777174619472158720,https://twitter.com/SSFootball_/status/777174619472158720
2016-09-17 15:57:22,intersport_id,,0,7,0,"Full Time #EPL Hull City 1-4 Arsenal Leicester City 3-0 Burnley Man City 4-0 Bournemouth West Brom 4-2 West Ham",,,#EPL,777174618373255169,https://twitter.com/intersport_id/status/777174618373255169
2016-09-17 15:57:08,Futbol_ahora,,0,20,26,"Hull 1-4 Arsenal Leicester 3-0 Burnley City 4-0 Bournemouth West Brom 4-2 West Ham pic.twitter.com/xNopVZCWzp",,,,777174557232734208,https://twitter.com/Futbol_ahora/status/777174557232734208
2016-09-17 15:57:02,Tshepang_MUFC,,0,4,1,"So far English Premier League results Chelsea 1-2 Liverpool Man City 4-0 Bournemouth Hull City 1-4 Arsenal Leicester 3-0 Burnley",,,,777174533774118912,https://twitter.com/Tshepang_MUFC/status/777174533774118912
2016-09-17 15:57:01,gr_amine,,0,0,0,"EN DIRECT / LIVE. Leicester City - Burnley - Premier League - 17 septembre 2016 http://www.eurosport.fr/football/premier-league/2016-2017/live-leicester-city-burnley_mtc862025/live.shtml#fr-tw-sh … via @Eurosport_FR",,@Eurosport_FR,#fr,777174527130406912,https://twitter.com/gr_amine/status/777174527130406912
2016-09-17 15:56:52,tonycfa,,0,0,0,"And #LeicesterCity wins! Back on track #EPL",,,#LeicesterCity #EPL,777174489209667584,https://twitter.com/tonycfa/status/777174489209667584
2016-09-17 15:56:46,femi_legacy,,0,0,0,"England - Premier League FT: Hull City 1-4 Arsenal, Leicester City 3-0 Burnley, Manchester City 4-0 AFC Bournemouth, WestBrom 4-2 WestHam",,,,777174465717436416,https://twitter.com/femi_legacy/status/777174465717436416
2016-09-17 15:56:31,dfootballinfo,,0,0,0,"#PL | Fin des matchs Hull 1-4 Arsenal Leicester 3-0 Burnley Manchester City 4-0 Bournemouth West Brom 4-2 West Ham http://fb.me/2uRRd07EV",,,#PL,777174402257588226,https://twitter.com/dfootballinfo/status/777174402257588226
2016-09-17 15:56:30,PremierTanzania,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174398331654145,https://twitter.com/PremierTanzania/status/777174398331654145
2016-09-17 15:56:30,PremierBetKenya,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396804931585,https://twitter.com/PremierBetKenya/status/777174396804931585
2016-09-17 15:56:30,RSBetting,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396742017024,https://twitter.com/RSBetting/status/777174396742017024
2016-09-17 15:56:30,Premier_Zambia,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396645638144,https://twitter.com/Premier_Zambia/status/777174396645638144
2016-09-17 15:56:30,Premier_Malawi,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396633055232,https://twitter.com/Premier_Malawi/status/777174396633055232
2016-09-17 15:56:30,SBA_Uganda,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396612083712,https://twitter.com/SBA_Uganda/status/777174396612083712
2016-09-17 15:56:30,Premier_Ghana,,0,0,0,"FULL TIME: Manchester City 4 v 0 Bournemouth Hull City 1 v 4 Arsenal West Brom 4 v 2 West Ham Leicester City 3 v 0 Burnley",,,,777174396611993602,https://twitter.com/Premier_Ghana/status/777174396611993602
2016-09-17 15:56:28,LuxuryFootball1,,0,0,0,"""Leicester City vs Burnley 3-0 - All Goals & Full Highlights Premier League"" : http://youtu.be/tLOHIstUcxg?a via @YouTube",,@YouTube,,777174389909557248,https://twitter.com/LuxuryFootball1/status/777174389909557248
2016-09-17 15:56:27,GoalBpl,GoalBpl,0,0,0,"#PL : Leicester City 3 - 0 Burnley pic.twitter.com/1oEe3cr3oS",,,#PL,777174386591883264,https://twitter.com/GoalBpl/status/777174386591883264
2016-09-17 15:56:21,jms_juve,,0,0,0,"England - Premier League September 17 FT. Hull City 1 - 4 Arsenal FT. Leicester City 3 - 0 Burnley FT.... http://fb.me/1wDowy9JU",,,,777174361866285056,https://twitter.com/jms_juve/status/777174361866285056
2016-09-17 15:56:19,ChavdaTororo,,0,3,23,"Leicester City 3 - 0 Burnley. So sooooooo coool Premier League debut Slimani 2 goals congrats Slimani pic.twitter.com/mfLjTIeuzK",,,,777174351309316096,https://twitter.com/ChavdaTororo/status/777174351309316096
2016-09-17 15:56:14,NikkiHelenB,,0,1,0,"Well played #leicesterCity 3-0 #LCFC",,,#leicesterCity #LCFC,777174333089255424,https://twitter.com/NikkiHelenB/status/777174333089255424
2016-09-17 15:56:13,Proff_AK47,,0,0,0,"Leicester City returning to winning ways, slowly climbing up the leader",,,,777174328316166144,https://twitter.com/Proff_AK47/status/777174328316166144
2016-09-17 15:56:10,kellyUKx,,0,0,0,"BBC Sport -. FT Leicester City 3-0 Burnley http://bbc.in/2d4ji3v",,,,777174314340737026,https://twitter.com/kellyUKx/status/777174314340737026
2016-09-17 15:56:07,ouggi,,0,0,0,"FT:West Brom 4-2 West Ham Hull 1-4 Arsenal Leicester 3-0 Burnley City 4-0 Bournemouth",,,,777174302990868480,https://twitter.com/ouggi/status/777174302990868480
2016-09-17 15:56:02,Kuby37,,1,0,0,"#FT Manchester City 4-0 Bournemouth Hull City 1-4 Arsenal Leicester 3-0 Burnley WBA 4-2 WHU.",,,#FT,777174280056475648,https://twitter.com/Kuby37/status/777174280056475648
2016-09-17 15:55:59,garethoconnor,,0,0,1,"Lots of goals today in Premier League Hull 1-4 Arsenal Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom 4-2 West Ham",,,,777174270367727616,https://twitter.com/garethoconnor/status/777174270367727616
2016-09-17 15:55:56,ScoresDeFutbol,,0,0,0,"ENGLAND PREMIER LEAGUE #EPL Leicester City 3 Burnley 0",,,#EPL,777174256031367168,https://twitter.com/ScoresDeFutbol/status/777174256031367168
2016-09-17 15:55:41,rodriguijarrom,,0,0,1,"Resultados finales en la #EPL: Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth WBA 4-2 West Ham Leicester 3-0 Burnley",,,#EPL,777174193830060041,https://twitter.com/rodriguijarrom/status/777174193830060041
2016-09-17 15:55:40,joannnn98,,0,0,0,"Finales.. West Brom 4 - 2 West Ham Hull City 1 - 4 Arsenal Manchester City 4 - 0 Bournemouth Leicester 3 - 0 Burnley #PremierLeague",,,#PremierLeague,777174190961127424,https://twitter.com/joannnn98/status/777174190961127424
2016-09-17 15:55:38,dairo2iyke,,0,0,0,"Islam Slimani scored a brace on his #PL debut to guide Champions Leicester City to 3-0 victory over Burnley",,,#PL,777174178650853377,https://twitter.com/dairo2iyke/status/777174178650853377
2016-09-17 15:55:37,thesportsbay,,0,0,0,"Looks like the #ChampionsLeague anthem has actually woken up #LeicesterCity as they truly begin their title defence.",,,#ChampionsLeague #LeicesterCity,777174174334914560,https://twitter.com/thesportsbay/status/777174174334914560
2016-09-17 15:55:35,SportsInsights,,0,0,0,"EPL Results West Brom +191 at West Ham Arsenal -155 at Hull Leicester -200 vs. Burnley Man City -400 vs. Bournemouth",,,,777174168714539010,https://twitter.com/SportsInsights/status/777174168714539010
2016-09-17 15:55:34,Actus_Footeux,,0,0,0,"C'EST TERMINÉ ! Hull City Arsenal Leicester Burnley Man City Bournemouth West Brom West Ham",,,,777174165623308288,https://twitter.com/Actus_Footeux/status/777174165623308288
2016-09-17 15:55:32,hannianwar,,0,0,0,"City: won. Arsenal: won Leicester: won Man United: don't fuck things up.",,,,777174156144017408,https://twitter.com/hannianwar/status/777174156144017408
2016-09-17 15:55:29,AO_Sports,,0,0,0,"Leicester City 3 - 0 Burnley http://english.ahram.org.eg/News/243996.aspx …",,,,777174142093254656,https://twitter.com/AO_Sports/status/777174142093254656
2016-09-17 15:55:28,samdelag,,0,0,3,"Nice job, #LeicesterCity - the addition of Slimani already making an impact! pic.twitter.com/paVn3aUP8t",,,#LeicesterCity,777174140633571328,https://twitter.com/samdelag/status/777174140633571328
2016-09-17 15:55:25,Footballcasm,,0,0,0,"Manchester City vs AFC Bournemouth Score: 4 - 0 Match Over!! Leicester City vs Burnley Score: 3 - 0 Match Over!!",,,,777174125618028545,https://twitter.com/Footballcasm/status/777174125618028545
2016-09-17 15:55:22,FootyPremier,,0,0,0,"Premier League LIVE: West Brom and Man City bag four, Arsenal and Leicester winning - http://plnews.co.uk/premier-league-live-west-brom-and-man-city-bag-four-arsenal-and-leicester-winning/ …pic.twitter.com/qnGDMpWppQ",,,,777174114301771777,https://twitter.com/FootyPremier/status/777174114301771777
2016-09-17 15:55:15,PLFutbol,,0,0,0,"FT: Man City 4-0 Bournemouth: West Brom 4-2 West Ham: Hull 1-4 Arsenal: Leicester City 3-0 Burnley. #PL",,,#PL,777174084207644672,https://twitter.com/PLFutbol/status/777174084207644672
2016-09-17 15:55:11,UnofficialFoxes,,0,0,0,"Leicester City 3-0 Burnley http://leicestercitynews.com/leicester-city-3-0-burnley/5666 … #lcfc",,,#lcfc,777174066386141185,https://twitter.com/UnofficialFoxes/status/777174066386141185
2016-09-17 15:55:08,WeatherbyG,,0,0,0,"Premier League Leicester City 3 Burnley 0 Full Time",,,,777174054553944064,https://twitter.com/WeatherbyG/status/777174054553944064
2016-09-17 15:54:58,eldesmarque,,0,0,0,"Finales en la Premier: City 4-0 Bournemouth Leicester 3-0 Burnley Hull City 1-4 Arsenal West Brom 4-2 West Ham pic.twitter.com/jIBMhehtts",,,,777174014385086464,https://twitter.com/eldesmarque/status/777174014385086464
2016-09-17 15:54:55,PL18_19,,0,0,1,"FULL TIME: Hull City 1-4 Arsenal Leicester City 3-0 Burnley Manchester City 4-0 Bournemouth West Brom 4-2 West Ham",,,,777173998937530368,https://twitter.com/PL18_19/status/777173998937530368
2016-09-17 15:54:54,marca,,0,28,57,"FINAL | Leicester City 3-0 Burnley http://trib.al/jK9W65A #PLpic.twitter.com/bTVkthgWmG",,,#PLpic,777173997754654720,https://twitter.com/marca/status/777173997754654720
2016-09-17 15:54:53,bluearmy,,1,91,142,"Leicester City are now unbeaten at home in a full calendar year! #LCFC #LeiBurpic.twitter.com/xA9qMjVeMK",,,#LCFC #LeiBurpic,777173993614938112,https://twitter.com/bluearmy/status/777173993614938112
2016-09-17 15:54:47,SizzleTrev,,0,0,0,"Leicester City",,,,777173967618596864,https://twitter.com/SizzleTrev/status/777173967618596864
2016-09-17 15:54:46,SalimOlahraga,,0,0,0,"FULLTIME: Hull City 1-4 Arsenal Manchester City 4-0 Bournemouth West Brom 4-2 West Ham Leicester 3-0 Burnley",,,,777173962765643776,https://twitter.com/SalimOlahraga/status/777173962765643776
2016-09-17 15:54:41,ESPNFC,,2,100,157,"Premier League FT scores: Hull 1-4 Arsenal Man City 4-0 Bournemouth Leicester 3-0 Burnley West Brom 4-2 West Ham pic.twitter.com/bl1OjveCep",,,,777173941639143425,https://twitter.com/ESPNFC/status/777173941639143425
2016-09-17 15:54:35,Wally_cho,,0,0,2,"18 goles en 4 partidos de la Premier Hull City 1-4 Arsenal Leicester 3-0 Burnley M. City 4-0 Bournemouth West Bromwich 4-2 West Ham",,,,777173914954915840,https://twitter.com/Wally_cho/status/777173914954915840
2016-09-17 15:54:35,JombloFootballs,,0,3,0,"Fulltime PL: Hull 1-4 Arsenal Leicester 3-0 Burnley Man City 4-0 Bournemouth West Brom 4-2 West Ham",,,,777173914912907265,https://twitter.com/JombloFootballs/status/777173914912907265
2016-09-17 15:54:34,3novicesSydney,,0,0,0,"#3Novices : EPL results: Xhaka wonder strike studs Arsenal win as Manchester City and Leicester impress http://ift.tt/2cxl3KF The …",,,#3Novices,777173913725964288,https://twitter.com/3novicesSydney/status/777173913725964288
