date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-12-03 16:59:59,BoyleSports,StanCollymore,0,0,0,"10/1 for Leicester City to be relegated, @StanCollymore! You really think they could go down?https://twitter.com/StanCollymore/status/805085581562839040 …",,@StanCollymore,,805094240577536001,https://twitter.com/BoyleSports/status/805094240577536001
2016-12-03 16:59:58,iam__one,premierleague,0,0,0,"Leicester City is going no where this time around https://twitter.com/premierleague/status/805093369177378817 …",,,,805094235666051072,https://twitter.com/iam__one/status/805094235666051072
2016-12-03 16:59:53,Loidstwit,,0,0,1,"Another record breaking season for the foxes #leicestercity",,,#leicestercity,805094215071961088,https://twitter.com/Loidstwit/status/805094215071961088
2016-12-03 16:59:51,joshboyles,,0,0,0,"The funniest part of this season has to be Leicester City losing to bottom of the table Sunderland, eh @Mahrez22 #COYS",,@Mahrez22,#COYS,805094208918978560,https://twitter.com/joshboyles/status/805094208918978560
2016-12-03 16:59:37,albertozapatad,,0,0,0,"FT - Sunderland 2-1 Leicester City (ESPN) http://ift.tt/1NKZUVZ #Foxes",,,#Foxes,805094146050560000,https://twitter.com/albertozapatad/status/805094146050560000
2016-12-03 16:59:27,DavidWa50046817,,0,0,1,"Leicester City deserved to win the PL last season,teams have worked out how to play against Leicester City tactically. #BTSportScore",,,#BTSportScore,805094106468937730,https://twitter.com/DavidWa50046817/status/805094106468937730
2016-12-03 16:59:07,_Baine,_Baine,0,0,0,"Kante saw Leicester city for the scam that they were and took to his heels",,,,805094022603833344,https://twitter.com/_Baine/status/805094022603833344
2016-12-03 16:59:07,Northantsfans,,0,0,0,"Im.guessing Leicester City are not used to the different drug testing rules in the champions league",,,,805094020284370945,https://twitter.com/Northantsfans/status/805094020284370945
2016-12-03 16:59:03,ThatConnArtist,,1,0,0,"Leicester City are two points off relegation. Wayne Lineker didn't die for this.",,,,805094007365890048,https://twitter.com/ThatConnArtist/status/805094007365890048
2016-12-03 16:59:00,iKobby_,,0,1,0,"Leicester City took blue jersey to the football gods pretending to be Chelsea last season. Now they've been busted and reset to default https://twitter.com/Squawka/status/805093213757390848 …",,,,805093991276482560,https://twitter.com/iKobby_/status/805093991276482560
