date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-08-14 23:59:41,Danielagungsam1,,0,0,0,"Matchday West Ham United vs Leicester City #COYI #WHUFC",,,#COYI #WHUFC,632340847942471680,https://twitter.com/Danielagungsam1/status/632340847942471680
2015-08-14 23:49:50,TheLocalMpls,,0,0,0,"#BPL Sat/15 9am West Ham v Leicester City $4.50 pints $13.99 buffet #WHUFC #LCFC @whufc_official @WBAFCofficial http://the-local.com/sports/",,@whufc_official @WBAFCofficial,#BPL #WHUFC #LCFC,632338372418105344,https://twitter.com/TheLocalMpls/status/632338372418105344
2015-08-14 23:34:43,edson_carr,k_lopez533,0,0,0,"@k_lopez533 arsenal played shyte against west ham but I like the teams you choose but Leicester City all the way",,@k_lopez533,,632334564703113216,https://twitter.com/edson_carr/status/632334564703113216
2015-08-14 23:33:59,soccerindefinit,,0,0,0,"West Ham United v Leicester City http://www.bbc.co.uk/sport/0/football/33832171 …",,,,632334380061429760,https://twitter.com/soccerindefinit/status/632334380061429760
2015-08-14 23:17:03,MaineRoad_M14,alhugs,2,1,4,"@alhugs Superb... Thankyou ... Barney Daniel's 2 goals against Leicester City... Local Legend at Ashton Utd & Hyde Utd.... @AshtonUnitedFC",,@alhugs @AshtonUnitedFC,,632330118933913600,https://twitter.com/MaineRoad_M14/status/632330118933913600
2015-08-14 23:16:13,MelissaEllenW,,1,0,4,"Can finally go shopping for baby clothes! First on the list - Leicester City kit! Shes gonna play for #lcfc ladiespic.twitter.com/uEUDQfScXg",,,#lcfc,632329911311724544,https://twitter.com/MelissaEllenW/status/632329911311724544
2015-08-14 23:09:02,FoxesNews,,0,2,1,"#lcfc #foxes #leicestercity Leicester Sporting Stars Welcome Rugby World Cup http://dld.bz/dQ3gk",,,#lcfc #foxes #leicestercity,632328104732700672,https://twitter.com/FoxesNews/status/632328104732700672
2015-08-14 23:03:22,FIRST4LCFC,,0,0,1,"Busy day at work? Stay on top of things with our daily round-up of Leicester City transfer news and rumours http://go.shr.lc/1NvvZz9 #LCFC",,,#LCFC,632326676022734848,https://twitter.com/FIRST4LCFC/status/632326676022734848
2015-08-14 23:02:40,FOXES_Fanly,,0,0,0,"Leicester boss Claudio Ranieri says he would be 'crazy' no... #LCFC #LeicesterCity http://www.fandrop.co/p/HyAu2Gk78V pic.twitter.com/sCor9QQ181",,,#LCFC #LeicesterCity,632326499014602752,https://twitter.com/FOXES_Fanly/status/632326499014602752
2015-08-14 23:00:24,BookieSmash,,0,0,1,"West Ham vs Leicester City: Find 11/4 at bwin for Modibo Maiga to score anytime http://buff.ly/1DQmzyz #PremierLeaguepic.twitter.com/Uk6bbGO3Fh",,,#PremierLeaguepic,632325931152080896,https://twitter.com/BookieSmash/status/632325931152080896
2015-08-14 22:58:02,kezarpub,,0,0,0,"Saturday August 15 7am Southampton v Everton Spurs v Stoke City West Ham v Leicester City Sunderland v Norwich... http://fb.me/5blvsDFeL",,,,632325334839398400,https://twitter.com/kezarpub/status/632325334839398400
2015-08-14 22:47:52,thekiwicanary,,1,0,0,"@p_l_pass Minor grip. On Sunderland v Norwich game fixture, Norwich has Leicester City's logo. Please fix;-)",,@p_l_pass,,632322777085685760,https://twitter.com/thekiwicanary/status/632322777085685760
2015-08-14 22:46:06,Daniel__Orme,,0,0,0,"West Ham United vs Leicester City - Can the Foxes break their duck in London? #lcfc http://ift.tt/1WpZnwS",,,#lcfc,632322331071938560,https://twitter.com/Daniel__Orme/status/632322331071938560
2015-08-14 22:40:51,Love4Agencies,,0,0,0,"wearemediarocks: NeuvooLeiceste: Looking for a #Apprentice #Office Administrator - Leicester City Solicitors #jobs… https://twitter.com/NeuvooLeiceste/status/632315352916099072/photo/1pic.twitter.com/vCpDCk7y08",,,#Apprentice #Office #jobs,632321010239471616,https://twitter.com/Love4Agencies/status/632321010239471616
2015-08-14 22:40:02,Official_T4O,,0,0,0,"West Ham v Leicester City: Team News, Match Preview & Likely Line-Ups http://bit.ly/1TCY2Ut",,,,632320805263699968,https://twitter.com/Official_T4O/status/632320805263699968
2015-08-14 22:39:36,ThePremiership2,,0,0,0,"15. Aug 10:00 AM, West Ham United vs Leicester City http://fb.me/3wF3mop27",,,,632320693976215553,https://twitter.com/ThePremiership2/status/632320693976215553
2015-08-14 22:38:15,FinaleMovers,,0,0,0,"http://ift.tt/1IRE0LL BURY V LEICESTER CITY-25th Aug 2015-CAPITAL ONE CUP-PRE ORDER-PROG pic.twitter.com/mjbKHhI6HP",,,,632320357962268673,https://twitter.com/FinaleMovers/status/632320357962268673
