date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-02-23 23:59:04,DaveBalders,,0,0,0,"Come on Leicester city, what the fuck is going on. I’m always pleased to finish above W**kford, that dose t even look like a possible this year #lcfc #wankford",,,#lcfc #wankford,1099458654292660225,https://twitter.com/DaveBalders/status/1099458654292660225
2019-02-23 23:58:45,rorofutbol,,0,0,0,"FULL-TIME PREMIER LEICESTER CITY 1 CRYSTAL PALACE 4 FT Leicester 1-4 Crystal Palace Michy Batshuayi, Wilfried Zaha (2)& Luka Milivojevic notch to make it a happy record-breaking day… https://www.instagram.com/p/BuPluhOAoxj/?utm_source=ig_twitter_share&igshid=47tlng0b90s0 …",,,,1099458573661200384,https://twitter.com/rorofutbol/status/1099458573661200384
2019-02-23 23:54:59,7ai34,,1,0,1,"Ok I don’t really care jack you follow tricker mate I ain’t wasting my time watching fucking Leicester City in my saturdays I have better things to do",,,,1099457627522826240,https://twitter.com/7ai34/status/1099457627522826240
2019-02-23 23:53:05,NaijaAgencyNews,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City https://naijanewsagency.com/wilfried-zahas-brace-secures-crystal-palace-win-over-leicester-city/ …",,,,1099457149086982144,https://twitter.com/NaijaAgencyNews/status/1099457149086982144
2019-02-23 23:48:26,hames46082596,CallumAntliff,1,0,0,"How do you think Leicester City best player today what did think c place",,,,1099455975818432512,https://twitter.com/hames46082596/status/1099455975818432512
2019-02-23 23:47:03,GoalcomNigeria,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://dlvr.it/QzY54w pic.twitter.com/W6sWFGVzTi",,,,1099455630614552576,https://twitter.com/GoalcomNigeria/status/1099455630614552576
2019-02-23 23:45:05,goal_ghana,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://dlvr.it/QzY4v5 pic.twitter.com/1ua0lttToI",,,,1099455133904035840,https://twitter.com/goal_ghana/status/1099455133904035840
2019-02-23 23:45:05,GoalTanzania,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://dlvr.it/QzY4tx pic.twitter.com/Bm1aUSgIha",,,,1099455133115547648,https://twitter.com/GoalTanzania/status/1099455133115547648
2019-02-23 23:45:04,thedextazlab,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://www.goal.com/en/news/8/main/2019/02/23/51846652/wilfried-zahas-brace-secures-crystal-palace-win-over …",,,,1099455130896945152,https://twitter.com/thedextazlab/status/1099455130896945152
2019-02-23 23:43:04,GoalcomSA,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://dlvr.it/QzY4Zb pic.twitter.com/X83DKy9VAR",,,,1099454625420271621,https://twitter.com/GoalcomSA/status/1099454625420271621
2019-02-23 23:40:10,eplfeeds,,0,0,0,"Video: Priceless Wilfried Zaha reaction as Crystal Palace ace snubbed for MOTM award #epl: After Crystal Palace secured a 4-1 win over Leicester City on Saturday evening, Wilfried Zaha couldn&#8217;t quite believe that he d... https://eplfeeds.com/article/video-priceless-wilfried-zaha-reaction-as-crystal-palace-ace-snubbed-for-motm-award …",,,#epl #8217,1099453897855266817,https://twitter.com/eplfeeds/status/1099453897855266817
2019-02-23 23:38:45,WTFox1884,stewtabs,1,0,1,"Martin Allen, given what, 5 games? Levein & Holloway inherited a Leicester City struggling to stay afloat. Puel has all the resources at hand, money, training facilities & some top talent, yet the guy has us regressing from “best of the rest” contenders into relegation candidates",,,,1099453539473149952,https://twitter.com/WTFox1884/status/1099453539473149952
2019-02-23 23:38:04,GoalcomKenya,,0,0,0,"Wilfried Zaha's brace secures Crystal Palace win over Leicester City http://dlvr.it/QzY42J pic.twitter.com/4ANODyLC49",,,,1099453366311149568,https://twitter.com/GoalcomKenya/status/1099453366311149568
2019-02-23 23:36:35,fantasycznie,,2,0,1,"James Maddison vs Crystal Palace: - 9 shots - 1 shot in the box - 0.35 xG - 6 key passes - 0.10 xA Fixtures till GW34: BHA wat FUL bur BOU hud NEW whu But it is Leicester City FC - winless in 7 consecutive matches (all competitions).",,,,1099452993894797312,https://twitter.com/fantasycznie/status/1099452993894797312
