date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-04-29 23:59:59,JVanFM,,0,0,0,"Indo UK:Louis van Gaal: It is easier for Leicester City to buy players than Manchester United http://ift.tt/1WYhtXQ",,,,726199381762936832,https://twitter.com/JVanFM/status/726199381762936832
2016-04-29 23:59:57,JVanFM,,0,0,0,"Indo UK:Leicester City vs Manchester United: Claudio Ranieri still smiling ahead of Foxes' date with destiny http://ift.tt/1r3M1ea",,,,726199374519406593,https://twitter.com/JVanFM/status/726199374519406593
2016-04-29 23:59:37,doctordunlop,,0,0,0,"Carrot crunchers!? @bbc5live my goodness! #LCFC #LeicesterCity",,@bbc5live,#LCFC #LeicesterCity,726199290289360896,https://twitter.com/doctordunlop/status/726199290289360896
2016-04-29 23:59:28,Kaiidee123,,0,0,1,"Leicester city winning the league title is like a broken condom...you know its no ment to happen but will be will be!",,,,726199253551435776,https://twitter.com/Kaiidee123/status/726199253551435776
2016-04-29 23:59:26,harbingertimes,,0,0,0,"ICC Tickets: Leicester City v Paris Saint-Germain @Stubhub Center: Tickets For Leicester… http://dlvr.it/LBPBbb pic.twitter.com/BmdnmGczkp",,@Stubhub,,726199245162704896,https://twitter.com/harbingertimes/status/726199245162704896
2016-04-29 23:57:47,ChileSerrano17,,0,0,0,"I love Arsenal but I can't explain how excited I am for Leicester City to bean Man U this weekend",,,,726198828815126528,https://twitter.com/ChileSerrano17/status/726198828815126528
2016-04-29 23:56:24,onmysport,,0,0,0,"New post: UK Back Pages: Leicester City 90 Minutes from Premier League Glory http://www.onmysport.com/uk-back-pages-leicester-city-90-minutes-from-premier-league-glory/ …",,,,726198481317040128,https://twitter.com/onmysport/status/726198481317040128
2016-04-29 23:56:12,Yhusouf96,,0,0,0,"Manchester United not embarrassed by Leicester City's success - Van Gaal http://goo.gl/fb/eLJoLx",,,,726198431673360384,https://twitter.com/Yhusouf96/status/726198431673360384
2016-04-29 23:55:59,bbfootballpolls,,0,0,0,"Will Leicester City win the league on Sunday?",,,,726198376707067904,https://twitter.com/bbfootballpolls/status/726198376707067904
2016-04-29 23:55:54,MichaelKnight27,,0,0,0,"Leicester City FC news:Claudio Ranieri reacts 2 video from fans expressing love 4 him | talkSPORT http://po.st/b6LmVi via @talkSPORT",,@talkSPORT,,726198354816974848,https://twitter.com/MichaelKnight27/status/726198354816974848
2016-04-29 23:55:35,plee33,,0,0,0,"Jaguars gonna pull a Leicester City next season.",,,,726198273845792768,https://twitter.com/plee33/status/726198273845792768
2016-04-29 23:55:11,LeeVowellFS,,0,0,0,"#LeicesterCity: Premier League triumph to be sport's greatest triumph? - CNN https://apple.news/AYAGqVGgEQsyVWMgtjW41JA …",,,#LeicesterCity,726198174147334145,https://twitter.com/LeeVowellFS/status/726198174147334145
2016-04-29 23:54:12,newhampshirene1,,0,0,0,"ICC Tickets: Leicester City v Paris Saint-Germain @Stubhub Center: Tickets For Leicester… http://dlvr.it/LBP7Rt pic.twitter.com/wNHtIwJlBP",,@Stubhub,,726197926549032960,https://twitter.com/newhampshirene1/status/726197926549032960
2016-04-29 23:53:36,ItsFoxedUp,,0,0,0,"Leicester City vs Manchester United: Claudio Ranieri still smiling ahead of Foxes' date with destiny http://dlvr.it/LBP756 #lcfc",,,#lcfc,726197774711050240,https://twitter.com/ItsFoxedUp/status/726197774711050240
2016-04-29 23:53:35,ItsFoxedUp,,0,0,0,"Claudio Ranieri says it's still too soon for Leicester City to party: 'We're close but it's important now ... http://dlvr.it/LBP73z #lcfc",,,#lcfc,726197772232196096,https://twitter.com/ItsFoxedUp/status/726197772232196096
2016-04-29 23:53:35,ItsFoxedUp,,0,0,0,"Mark Selby interview: 'I'd sacrifice World Championship triumph for Leicester City title glory' http://dlvr.it/LBP72y #lcfc",,,#lcfc,726197770202140673,https://twitter.com/ItsFoxedUp/status/726197770202140673
2016-04-29 23:53:34,ItsFoxedUp,,0,0,0,"Leicester City stars turn to GOD in bid to clinch Premier League title glory http://dlvr.it/LBP71p #lcfc",,,#lcfc,726197768260198400,https://twitter.com/ItsFoxedUp/status/726197768260198400
2016-04-29 23:53:23,f3rnandolpz,,0,0,0,"This Sunday #LeicesterCity will be champion. NOTHING IS IMPOSSIBLE.",,,#LeicesterCity,726197720440934400,https://twitter.com/f3rnandolpz/status/726197720440934400
2016-04-29 23:53:12,i4_leicester,,0,0,0,"A city gripped by football fever: Leicester City are on the brink of pulling off one of sport's greates... http://bbc.in/1NHbhBo #lcfc",,,#lcfc,726197677017337856,https://twitter.com/i4_leicester/status/726197677017337856
2016-04-29 23:53:12,LCFCNewsRoom,,0,0,0,"A city gripped by football fever: Leicester City are on the brink of pulling off one of sport's g... http://bbc.in/21knHS3 [BBC] #LCFC",,,#LCFC,726197673267630080,https://twitter.com/LCFCNewsRoom/status/726197673267630080
2016-04-29 23:53:11,100Lcfc,,0,5,7,"A city gripped by football fever: Leicester City are on the brink of pulling off one of sport's greatest fair... http://bbc.in/1NHbhBo",,,,726197671426289664,https://twitter.com/100Lcfc/status/726197671426289664
2016-04-29 23:52:49,Leigh984,,0,0,0,"#Leicester City hall illuminated #blue and red ? For #backingtheblues day - http://ift.tt/1gNxEmw pic.twitter.com/B7TeawnmbH",,,#Leicester #blue #backingtheblues,726197580573630465,https://twitter.com/Leigh984/status/726197580573630465
2016-04-29 23:52:37,jonnygouldgoals,,0,3,1,"#PremierLeague: Manchester United not embarrassed by Leicester City's success - Van Gaal http://es.pn/24aUeyY #epl",,,#PremierLeague #epl,726197528908038145,https://twitter.com/jonnygouldgoals/status/726197528908038145
2016-04-29 23:52:20,garnekmedia,WSJSports,0,0,1,"This is biggest story in sports. Period. #LeicesterCity https://twitter.com/WSJSports/status/726197144986738689 …",,,#LeicesterCity,726197458997547008,https://twitter.com/garnekmedia/status/726197458997547008
2016-04-29 23:52:16,newhampshirene1,,0,0,0,"ICC Tickets: Leicester City v Paris Saint-Germain @Stubhub Center: Tickets For Leicester… http://dlvr.it/LBP60g pic.twitter.com/7WJJH5Pf1y",,@Stubhub,,726197440269848577,https://twitter.com/newhampshirene1/status/726197440269848577
2016-04-29 23:51:26,usnewheadlines1,,0,0,0,"Leicester City: Could this be sport's greatest triumph? - http://www.usnewsheadlines.net/leicester-city-could-this-be-sports-greatest-triumph-4/ …",,,,726197229334097920,https://twitter.com/usnewheadlines1/status/726197229334097920
2016-04-29 23:51:18,FOXES_Fanly,,0,1,2,"Leicester City: The Premier League fairy tale gripping a city #LCFC http://app.fanly.me/article/yO7J2s2X3q …pic.twitter.com/eB6Y0gZnjB",,,#LCFC,726197195582525444,https://twitter.com/FOXES_Fanly/status/726197195582525444
2016-04-29 23:51:15,usnewheadlines1,,0,0,0,"Leicester City: Could this be sport's greatest triumph? - http://www.usnewsheadlines.net/leicester-city-could-this-be-sports-greatest-triumph-3/ …",,,,726197184249503745,https://twitter.com/usnewheadlines1/status/726197184249503745
2016-04-29 23:51:06,WSJSports,,0,5,4,"Leicester City Football Club is hoping for the greatest upset in English soccer history. What you need to know: http://on.wsj.com/1N8D2To",,,,726197144986738689,https://twitter.com/WSJSports/status/726197144986738689
2016-04-29 23:50:21,africa_sport,,0,0,0,"#africa Leicester City's incredible Premier League title run, explained - Sports Illustrated: BBC Spor... http://bit.ly/1N8D5P2 #ghana",,,#africa #ghana,726196957610303488,https://twitter.com/africa_sport/status/726196957610303488
2016-04-29 23:50:03,mombilen,,0,1,0,"#EPL Long-shot Leicester City poised for historic, stunning Premier League win: If a long-shot Engl... http://bit.ly/1r3Y6zQ #Football",,,#EPL #Football,726196881202630660,https://twitter.com/mombilen/status/726196881202630660
2016-04-29 23:50:01,DavidAdaice,,0,0,0,"Predicted 4-4-2 Leicester City Lineup Vs Man United: Can The Foxes Win The Title At Old Trafford?:... http://bit.ly/1r3WhTG @joshnaija",,@joshnaija,,726196873673871360,https://twitter.com/DavidAdaice/status/726196873673871360
2016-04-29 23:50:01,ayodare18,,0,0,0,"Predicted 4-4-2 Leicester City Lineup Vs Man United: Can The Foxes Win The Title At Old Trafford?:... http://bit.ly/1r3WhTG @joshnaija",,@joshnaija,,726196871908073476,https://twitter.com/ayodare18/status/726196871908073476
