,date,id,text,retweet_count,favorite_count
99,Tue Mar 05 21:55:55 +0000 2019,1103051539374063616,Out with the old - In with the new. The Bernabeu silenced by a breathtaking #Ajax team. What a performance. #RMAAJA… https://t.co/MvDVDId2hk,0,0
98,Tue Mar 05 21:55:55 +0000 2019,1103051539378249729,"Ajax were superb tonight, made Real Madrid look average at home. A team and players in top form",0,0
97,Tue Mar 05 21:55:55 +0000 2019,1103051539466342400,RT @Football__Tweet: Just a reminder: Sergio Ramos purposefully got an 89th minute yellow card in the 1st leg against Ajax so he would be s…,1846,0
96,Tue Mar 05 21:55:55 +0000 2019,1103051539504136197,"RT @RMadrid_Stats: Real Madrid have lost by 3 goals or more in 6 matches so far this season, as much as the last 9 seasons COMBINED (2009/1…",39,0
95,Tue Mar 05 21:55:55 +0000 2019,1103051539793567744,"Real Madrid fans: ""We don't need Ronaldo anyway!""

RM fans now:

#RMAAJA https://t.co/KMJsHTlSiI",0,0
94,Tue Mar 05 21:55:55 +0000 2019,1103051539818651651,"RT @AFCAjax_ESP: FINAL: Real Madrid 1-4 Ajax

TO THE NEXT ROUND! ❌❌❌

#reaaja #LigadeCampeones",23,0
93,Tue Mar 05 21:55:55 +0000 2019,1103051539831312384,RT @FootballFactly: Real Madrid have been knocked out of the Champions League before the semi-finals for the first time in over 8 seasons.…,96,0
92,Tue Mar 05 21:55:55 +0000 2019,1103051539860676611,"RT @OptaJoe: 2 - Ajax are only the second team to eliminate Real Madrid from a European knockout tie having lost the first leg at home, aft…",672,0
91,Tue Mar 05 21:55:55 +0000 2019,1103051539873218562,"RT @tolutezzy_: With the way Real Madrid is playing even Enugu Rangers will beat them 😂

#RMAAJA",97,0
90,Tue Mar 05 21:55:55 +0000 2019,1103051539894226944,"Job done. 

Real Madrid are humiliated. 

Mourinho is back. https://t.co/pljo3VC6Nn",0,0
89,Tue Mar 05 21:55:55 +0000 2019,1103051539927760903,Real Madrid fans can no longer talk about soccer,0,0
88,Tue Mar 05 21:55:55 +0000 2019,1103051540045185028,RT @TheManUtdWay: It’s got to the point where we have to look at how incredible the influence of Cristiano Ronaldo was at Real Madrid. A fr…,488,0
87,Tue Mar 05 21:55:55 +0000 2019,1103051540636549120,"RT @Footy: Sergio Ramos was so confident of Real Madrid going through tonight, he purposefully got an 89th minute yellow card in the 1st le…",61,0
86,Tue Mar 05 21:55:55 +0000 2019,1103051540837871617,"We’re through to the quarter finals, beating Real 4-1 in Madrid! #reaaja",0,2
85,Tue Mar 05 21:55:55 +0000 2019,1103051541169156096,Real Madrid lost everything in one week. AT SANTIAGO. Siiiiiiuuuuu! https://t.co/lzISlsjyXO,0,3
84,Tue Mar 05 21:55:55 +0000 2019,1103051541236322306,RT @tsf_podcast: Full time at the Bernabeu. Real Madrid knocked out of the Champions League by Ajax in the most extraordinary fashion. End…,19,0
83,Tue Mar 05 21:55:55 +0000 2019,1103051541341134853,"RT @CheGiaevara: Real Madrid - March 5th 2019:

LaLiga: 48pts (Third place, 12pts behind leaders Barcelona)
Copa del Rey: Eliminated (lost…",59,0
82,Tue Mar 05 21:55:55 +0000 2019,1103051541676724226,"RT @TheEuropeanLad: Real Madrid CF 1-4 AFC Ajax.

The night that I dreamed of became reality. The most beautiful night of my life. I could…",72,0
81,Tue Mar 05 21:55:55 +0000 2019,1103051541760696320,"RT @Squawka: Real Madrid have suffered their heaviest ever home defeat in a knockout match in European competition.

Outclassed by Ajax. 👏…",639,0
80,Tue Mar 05 21:55:55 +0000 2019,1103051541777285120,This Real Madrid L warms my heart!,0,1
79,Tue Mar 05 21:55:55 +0000 2019,1103051541911650305,RT @BeWarmers: Courtois since joining Real Madrid... https://t.co/BTTIzTi4dQ,204,0
78,Tue Mar 05 21:55:55 +0000 2019,1103051541949399040,"RT @RioMoussallem: Real Madrid knocked out from Champions League &amp; Copa del Rey, found themselves 12 points behind Barcelona, all in one we…",17,0
77,Tue Mar 05 21:55:55 +0000 2019,1103051541974380544,@FOXSoccer @AFCAjax Real Madrid fans 🖕🏼😂,0,0
76,Tue Mar 05 21:55:56 +0000 2019,1103051542582751232,RT @DeludedBrendan: When you wonder if it's possible to job share managing Leicester City and Real Madrid https://t.co/4U7x2d9Rgh,458,0
75,Tue Mar 05 21:55:56 +0000 2019,1103051542666661890,RT @FutbolBible: This angle of Ajax's free-kick golazo against Real Madrid is absolutely incredible. This is epic. 😍🔥 https://t.co/vcJG7jHo…,10642,0
74,Tue Mar 05 21:55:56 +0000 2019,1103051542838407168,RT @FootballFunnnys: Every Real Madrid fan at the moment. https://t.co/lC7N3mmQkn,1084,0
73,Tue Mar 05 21:55:56 +0000 2019,1103051542964461568,Real Madrid humbled. No one saw it coming. Ajax 💪💪💪,0,0
72,Tue Mar 05 21:55:56 +0000 2019,1103051543077634050,RT @FutbolBible: This angle of Ajax's free-kick golazo against Real Madrid is absolutely incredible. This is epic. 😍🔥 https://t.co/vcJG7jHo…,10642,0
71,Tue Mar 05 21:55:56 +0000 2019,1103051543107067904,RT @TrollFootball: Real Madrid defenders when they see Ajax players coming at them https://t.co/hUJp4zuu2g,1506,0
70,Tue Mar 05 21:55:56 +0000 2019,1103051543203459072,RT @TheManUtdWay: It’s got to the point where we have to look at how incredible the influence of Cristiano Ronaldo was at Real Madrid. A fr…,488,0
69,Tue Mar 05 21:55:56 +0000 2019,1103051543316779010,"RT @_scottsaunders: Real Madrid are a bit screwed long term, aren’t they?

Squad at the end of its cycle, most big names 30 ish with little…",2,0
68,Tue Mar 05 21:55:56 +0000 2019,1103051543450976258,"Acabou... Real Madrid 1-4 AJAX 
😄😄😄 #RMAAJA #UCL",0,0
67,Tue Mar 05 21:55:56 +0000 2019,1103051543476137984,"RT @OptaJoe: 2 - Ajax are only the second team to eliminate Real Madrid from a European knockout tie having lost the first leg at home, aft…",672,0
66,Tue Mar 05 21:55:56 +0000 2019,1103051543551582209,RT @TrollFootball: Disgusting scenes at The Bernabeu as stewards force Real Madrid fans to stay and watch the game https://t.co/fHOQD6ZS8o,2861,0
65,Tue Mar 05 21:55:56 +0000 2019,1103051543631331332,RT @BigCasi14: Worst Real Madrid season I've ever seen,11,0
64,Tue Mar 05 21:55:56 +0000 2019,1103051543635550209,"RT @RegistaCruyff: FT: Real Madrid 1 - 4 Ajax.

Incredible performance, still shaking. 1-4 against the team that won the Champions League t…",72,0
